iter	Passed	Remaining
0	162	162557
1	164	81836
2	164	54818
3	165	41306
4	166	33201
5	167	27806
6	168	23953
7	169	21055
8	172	19003
9	173	17215
10	175	15752
11	176	14513
12	177	13456
13	178	12549
14	179	11762
15	180	11096
16	181	10490
17	182	9947
18	183	9462
19	184	9025
20	186	8709
21	188	8374
22	189	8049
23	190	7745
24	191	7477
25	193	7250
26	195	7039
27	198	6882
28	201	6747
29	205	6653
30	210	6594
31	212	6442
32	216	6354
33	222	6320
34	224	6196
35	231	6199
36	233	6083
37	235	5951
38	237	5840
39	238	5728
40	239	5613
41	241	5502
42	243	5418
43	245	5331
44	246	5239
45	248	5146
46	249	5051
47	250	4961
48	251	4874
49	252	4791
50	253	4715
51	254	4637
52	255	4562
53	256	4488
54	257	4431
55	259	4370
56	260	4311
57	262	4255
58	263	4198
59	264	4143
60	265	4088
61	266	4035
62	267	3984
63	268	3932
64	270	3883
65	272	3858
66	273	3813
67	275	3769
68	276	3725
69	277	3683
70	278	3644
71	279	3606
72	281	3568
73	282	3529
74	283	3492
75	284	3454
76	285	3419
77	286	3391
78	288	3362
79	290	3338
80	291	3305
81	292	3272
82	292	3235
83	293	3203
84	294	3172
85	295	3141
86	296	3113
87	297	3086
88	300	3079
89	302	3059
90	303	3036
91	304	3009
92	305	2983
93	306	2956
94	307	2931
95	308	2907
96	309	2884
97	310	2861
98	311	2837
99	312	2814
100	313	2791
101	315	2780
102	317	2764
103	319	2749
104	320	2730
105	321	2710
106	322	2693
107	324	2676
108	325	2658
109	326	2640
110	327	2624
111	328	2605
112	330	2593
113	331	2578
114	333	2565
115	334	2548
116	335	2531
117	336	2516
118	337	2499
119	338	2483
120	339	2466
121	340	2449
122	341	2433
123	342	2417
124	343	2401
125	345	2396
126	346	2383
127	348	2373
128	349	2360
129	350	2345
130	351	2331
131	352	2317
132	353	2303
133	354	2289
134	355	2276
135	356	2263
136	357	2250
137	358	2237
138	360	2232
139	361	2222
140	362	2210
141	363	2196
142	364	2184
143	365	2173
144	366	2163
145	368	2152
146	369	2142
147	370	2132
148	371	2123
149	373	2117
150	375	2109
151	376	2102
152	378	2093
153	379	2087
154	381	2078
155	382	2070
156	384	2064
157	385	2056
158	388	2052
159	389	2046
160	390	2036
161	391	2027
162	393	2019
163	394	2012
164	395	2003
165	397	1995
166	398	1987
167	399	1977
168	400	1969
169	405	1979
170	407	1974
171	408	1966
172	409	1958
173	410	1950
174	411	1941
175	413	1934
176	414	1926
177	415	1917
178	418	1917
179	420	1913
180	421	1908
181	423	1902
182	424	1896
183	425	1888
184	427	1881
185	428	1873
186	429	1865
187	432	1867
188	434	1864
189	436	1859
190	437	1853
191	438	1846
192	439	1838
193	440	1830
194	441	1823
195	442	1815
196	443	1807
197	444	1799
198	446	1796
199	448	1793
200	449	1788
201	450	1780
202	451	1773
203	452	1766
204	453	1758
205	454	1751
206	455	1744
207	456	1737
208	457	1730
209	458	1724
210	459	1717
211	461	1715
212	463	1711
213	464	1705
214	465	1699
215	466	1693
216	467	1687
217	468	1680
218	469	1674
219	470	1667
220	471	1661
221	472	1655
222	473	1649
223	476	1652
224	478	1647
225	479	1643
226	481	1637
227	481	1632
228	482	1625
229	483	1619
230	484	1613
231	485	1608
232	486	1602
233	487	1596
234	488	1590
235	490	1586
236	491	1582
237	492	1578
238	494	1573
239	495	1569
240	496	1563
241	497	1557
242	498	1552
243	499	1547
244	500	1541
245	501	1535
246	501	1530
247	502	1524
248	503	1519
249	505	1516
250	506	1511
251	508	1508
252	509	1504
253	510	1500
254	511	1495
255	512	1490
256	513	1485
257	514	1480
258	515	1475
259	516	1470
260	517	1466
261	519	1462
262	520	1459
263	521	1455
264	523	1451
265	524	1448
266	525	1443
267	526	1438
268	527	1433
269	528	1428
270	529	1423
271	530	1419
272	531	1414
273	532	1410
274	533	1407
275	535	1405
276	537	1401
277	538	1397
278	539	1393
279	540	1389
280	541	1385
281	543	1382
282	544	1378
283	545	1374
284	546	1370
285	547	1365
286	548	1362
287	549	1359
288	551	1356
289	552	1352
290	553	1349
291	554	1344
292	555	1340
293	556	1336
294	557	1332
295	558	1328
296	559	1323
297	560	1320
298	561	1316
299	562	1312
300	564	1309
301	565	1306
302	566	1303
303	567	1300
304	568	1296
305	569	1292
306	570	1288
307	571	1284
308	572	1280
309	573	1277
310	574	1273
311	575	1269
312	576	1265
313	579	1265
314	580	1262
315	581	1259
316	582	1255
317	583	1252
318	584	1248
319	585	1244
320	586	1240
321	587	1237
322	589	1234
323	590	1231
324	591	1227
325	592	1225
326	593	1222
327	595	1219
328	596	1215
329	597	1212
330	598	1209
331	599	1206
332	600	1202
333	601	1199
334	602	1195
335	603	1192
336	604	1188
337	605	1185
338	606	1181
339	607	1179
340	609	1177
341	611	1175
342	612	1172
343	613	1169
344	614	1166
345	615	1162
346	616	1159
347	617	1156
348	617	1152
349	618	1149
350	619	1145
351	620	1142
352	623	1141
353	624	1139
354	625	1136
355	626	1133
356	627	1130
357	628	1127
358	629	1124
359	630	1121
360	631	1118
361	632	1114
362	633	1111
363	634	1108
364	635	1105
365	636	1103
366	638	1101
367	639	1098
368	640	1095
369	642	1093
370	643	1090
371	644	1087
372	645	1084
373	646	1081
374	647	1078
375	648	1075
376	648	1072
377	649	1069
378	651	1066
379	652	1064
380	653	1062
381	654	1059
382	655	1056
383	656	1053
384	657	1050
385	658	1047
386	659	1044
387	660	1042
388	661	1039
389	662	1036
390	663	1033
391	664	1030
392	665	1027
393	667	1026
394	668	1023
395	669	1020
396	670	1017
397	671	1015
398	672	1012
399	673	1010
400	674	1007
401	676	1005
402	677	1003
403	678	1000
404	679	997
405	680	995
406	682	993
407	683	991
408	684	989
409	685	986
410	686	983
411	687	980
412	688	978
413	688	975
414	689	972
415	690	969
416	691	966
417	692	964
418	693	961
419	694	958
420	697	958
421	698	956
422	699	954
423	700	951
424	701	948
425	702	946
426	703	943
427	704	941
428	705	938
429	705	935
430	706	933
431	707	930
432	708	928
433	709	925
434	711	924
435	712	922
436	714	920
437	715	917
438	716	915
439	717	912
440	718	910
441	719	907
442	719	905
443	720	902
444	721	900
445	722	897
446	723	895
447	725	894
448	726	891
449	727	889
450	728	887
451	729	885
452	731	882
453	732	880
454	733	878
455	734	875
456	735	873
457	735	870
458	736	868
459	737	866
460	739	864
461	741	863
462	742	861
463	744	859
464	745	857
465	746	855
466	747	853
467	749	851
468	749	849
469	750	846
470	751	844
471	752	842
472	754	840
473	755	838
474	756	836
475	757	833
476	758	831
477	759	829
478	760	826
479	761	824
480	762	822
481	763	820
482	763	817
483	764	815
484	765	813
485	766	810
486	768	809
487	769	807
488	771	805
489	772	803
490	772	801
491	773	799
492	774	796
493	775	794
494	776	792
495	777	790
496	778	787
497	779	785
498	780	783
499	781	781
500	782	779
501	783	777
502	785	775
503	786	773
504	787	771
505	788	769
506	789	767
507	790	765
508	791	763
509	792	761
510	792	758
511	793	756
512	794	754
513	795	752
514	797	750
515	799	749
516	800	747
517	801	745
518	802	743
519	803	741
520	804	739
521	805	737
522	806	735
523	807	733
524	808	731
525	809	729
526	810	727
527	811	725
528	812	723
529	813	721
530	815	720
531	816	718
532	817	716
533	818	714
534	819	711
535	820	709
536	820	707
537	821	705
538	822	703
539	823	701
540	824	699
541	825	697
542	826	695
543	828	694
544	829	692
545	830	690
546	831	688
547	832	686
548	833	684
549	834	682
550	835	680
551	836	678
552	837	677
553	838	675
554	839	673
555	840	671
556	841	669
557	843	668
558	844	666
559	845	664
560	846	662
561	847	660
562	848	658
563	849	656
564	850	654
565	851	652
566	852	651
567	853	649
568	854	647
569	855	645
570	856	643
571	858	642
572	859	640
573	860	638
574	861	636
575	862	634
576	863	632
577	864	631
578	865	629
579	866	627
580	867	625
581	868	623
582	869	621
583	870	620
584	871	618
585	873	617
586	874	615
587	875	613
588	876	611
589	877	609
590	878	608
591	879	606
592	880	604
593	881	602
594	882	600
595	883	598
596	884	596
597	885	595
598	886	593
599	887	591
600	888	590
601	890	588
602	891	586
603	892	584
604	893	583
605	894	581
606	895	579
607	895	577
608	896	575
609	897	573
610	898	572
611	899	570
612	900	568
613	901	567
614	903	565
615	904	563
616	905	562
617	907	560
618	908	559
619	909	557
620	910	555
621	911	553
622	912	552
623	913	550
624	914	548
625	915	546
626	916	545
627	917	543
628	919	542
629	920	540
630	921	538
631	922	536
632	923	535
633	924	533
634	925	531
635	925	529
636	926	528
637	927	526
638	928	524
639	929	522
640	930	521
641	931	519
642	933	518
643	934	516
644	935	514
645	936	513
646	937	511
647	938	509
648	939	508
649	940	506
650	941	504
651	942	502
652	942	501
653	943	499
654	944	497
655	945	495
656	947	494
657	948	493
658	949	491
659	950	489
660	951	488
661	952	486
662	953	484
663	954	482
664	955	481
665	956	479
666	957	477
